,name,rating,reviews,highly rated for,critically rated for,details,jobs
0,TCS,3.8,72.1k,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",IT Services & Consulting | 1 Lakh+ Employees | Public | 56 years old | Nagpur +334 more,72.1k
1,Accenture,4.0,45.6k,"Company Culture, Job Security, Skill Development / Learning",,IT Services & Consulting | 1 Lakh+ Employees | Public | 35 years old | Nagpur +166 more,45.6k
2,Cognizant,3.9,41.1k,Skill Development / Learning,Promotions / Appraisal,IT Services & Consulting | 1 Lakh+ Employees | Forbes Global 2000 | 30 years old | Nagpur +155 more,41.1k
3,Wipro,3.8,38.3k,Job Security,"Promotions / Appraisal, Salary & Benefits",IT Services & Consulting | 1 Lakh+ Employees | Public | 79 years old | Nagpur +270 more,38.3k
4,HDFC Bank,3.9,33.4k,"Job Security, Skill Development / Learning",Promotions / Appraisal,Banking | 1 Lakh+ Employees | Public | 30 years old | Nagpur +1514 more,33.4k
5,ICICI Bank,4.0,33.1k,"Job Security, Skill Development / Learning, Company Culture",,Banking | 1 Lakh+ Employees | Public | 30 years old | Nagpur +1266 more,33.1k
6,Infosys,3.8,31.3k,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",IT Services & Consulting | 1 Lakh+ Employees | Public | 43 years old | Nagpur +169 more,31.3k
7,Capgemini,3.8,29.2k,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits",IT Services & Consulting | 1 Lakh+ Employees | Public | 57 years old | Nagpur +124 more,29.2k
8,HCLTech,3.6,28k,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting | 1 Lakh+ Employees | Public | 33 years old | Nagpur +179 more,28k
9,Tech Mahindra,3.7,27.2k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,IT Services & Consulting | 1 Lakh+ Employees | Public | 38 years old | Nagpur +258 more,27.2k
10,Genpact,3.9,25.8k,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal",IT Services & Consulting | 1 Lakh+ Employees | Public | 27 years old | Nagpur +105 more,25.8k
11,Axis Bank,3.8,21.7k,Job Security,,Banking | 50k-1 Lakh Employees | Public | 31 years old | Nagpur +1288 more,21.7k
12,Teleperformance,3.6,21.6k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,BPO | 50k-1 Lakh Employees | Forbes Global 2000 | 46 years old | Nagpur +175 more,21.6k
13,Concentrix Corporation,3.9,21.5k,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",BPO | 50k-1 Lakh Employees | Public | 41 years old | Nagpur +108 more,21.5k
14,Amazon,4.1,20.5k,"Company Culture, Salary & Benefits, Work Life Balance",,Internet | 1 Lakh+ Employees | Public | 30 years old | Nagpur +435 more,20.5k
15,Reliance Jio,4.0,20.4k,"Job Security, Skill Development / Learning",Promotions / Appraisal,Telecom | 50k-1 Lakh Employees | Public | 17 years old | Nagpur +1164 more,20.4k
16,IBM,4.1,19.5k,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal,IT Services & Consulting | 1 Lakh+ Employees | Public | 113 years old | Nagpur +143 more,19.5k
17,Reliance Retail,3.9,18.5k,"Skill Development / Learning, Job Security",Promotions / Appraisal,Retail | 1 Lakh+ Employees | 18 years old | Nagpur +980 more,18.5k
18,Larsen & Toubro Limited,4.0,18.5k,"Job Security, Skill Development / Learning",,Engineering & Construction | 10k-50k Employees | Public | 86 years old | Nagpur +629 more,18.5k
19,HDB Financial Services,4.0,17.9k,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal,NBFC | 1 Lakh+ Employees | 17 years old | Nagpur +938 more,17.9k
0,Vodafone Idea,4.2,15.2k,"Company Culture, Work Life Balance, Salary & Benefits",,Telecom | 5k-10k Employees | Public | 6 years old | Mumbai +634 more,15.2k
1,BYJU'S,3.1,14.5k,"Job Security, Work Life Balance, Company Culture",,EdTech | 10k-50k Employees | Indian Unicorn | 13 years old | Bangalore +303 more,14.5k
2,Deloitte,3.9,14.2k,"Job Security, Salary & Benefits, Skill Development / Learning",,Management Consulting | 1 Lakh+ Employees | 179 years old | London +153 more,14.2k
3,Kotak Mahindra Bank,3.8,14k,Job Security,Promotions / Appraisal,Banking | 50k-1 Lakh Employees | Public | 21 years old | Mumbai +559 more,14k
4,Reliance Industries,4.0,13.5k,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,Oil & Gas | 1 Lakh+ Employees | Public | 47 years old | Navi Mumbai +659 more,13.5k
5,Bharti Airtel,4.0,12.1k,"Skill Development / Learning, Job Security, Company Culture",,Telecom | 10k-50k Employees | Public | 29 years old | Gurgaon/Gurugram +646 more,12.1k
6,iEnergizer,4.6,11.7k,"Company Culture, Skill Development / Learning, Job Security",,BPO | 10k-50k Employees | 24 years old | Noida +25 more,11.7k
7,Tata Motors,4.2,11.1k,"Job Security, Skill Development / Learning, Company Culture",,Automobile | 10k-50k Employees | Public | 79 years old | Pune +452 more,11.1k
8,Flipkart,4.1,9.6k,"Skill Development / Learning, Company Culture, Job Security",,Internet | 10k-50k Employees | Public | 17 years old | Bangalore +527 more,9.6k
9,WNS,3.5,9.6k,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",BPO | 10k-50k Employees | 28 years old | Mumbai +33 more,9.6k
10,IndusInd Bank,3.7,9.1k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Banking | 10k-50k Employees | Public | 30 years old | Gurgaon/Gurugram +676 more,9.1k
11,Ernst & Young,3.6,8.7k,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",Management Consulting | 50k-1 Lakh Employees | 22 years old | London +97 more,8.7k
12,AU Small Finance Bank,4.5,8.7k,"Skill Development / Learning, Job Security, Company Culture",,Banking | 10k-50k Employees | Fortune India 500 | 28 years old | Jaipur +400 more,8.7k
13,Mahindra & Mahindra,4.2,8.7k,"Job Security, Skill Development / Learning, Company Culture",,Automobile | 1 Lakh+ Employees | Public | 79 years old | Mumbai +476 more,8.7k
14,Infosys BPM,3.9,8.2k,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal",BPO | 10k-50k Employees | 22 years old | Bangalore/Bengaluru +65 more,8.2k
15,DXC Technology,3.8,8.2k,Work Life Balance,"Promotions / Appraisal, Salary & Benefits",IT Services & Consulting | 10k-50k Employees | Public | 7 years old | Minato +81 more,8.2k
16,IDFC FIRST Bank,4.0,8k,"Salary & Benefits, Skill Development / Learning, Job Security",,Banking | 10k-50k Employees | Public | 6 years old | Mumbai +571 more,8k
17,Conneqt Business Solutions,3.7,7.6k,"Promotions / Appraisal, Salary & Benefits",,BPO | 10k-50k Employees | 22 years old | Mumbai +217 more,7.6k
18,HDFC Life,4.1,7.6k,"Skill Development / Learning, Job Security, Company Culture",,Insurance | 10k-50k Employees | Public | 24 years old | Mumbai +545 more,7.6k
19,LTIMindtree,3.7,7.5k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,IT Services & Consulting | 50k-1 Lakh Employees | Public | 25 years old | Bangalore/Bengaluru +49 more,7.5k
0,Bajaj Finserv,4.0,7.3k,"Salary & Benefits, Skill Development / Learning, Job Security",,Financial Services | 50k-1 Lakh Employees | Public | 17 years old | Pune +858 more,7.3k
1,Mphasis,3.5,6.9k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,IT Services & Consulting | 10k-50k Employees | Public | 26 years old | Bangalore/Bengaluru +47 more,6.9k
2,PwC,3.6,6.8k,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",Management Consulting | 10k-50k Employees | Conglomerate | 144 years old | London +90 more,6.8k
3,Samsung,4.1,6.8k,"Job Security, Salary & Benefits, Skill Development / Learning",,Consumer Electronics & Appliances | 50k-1 Lakh Employees | Public | 86 years old | Seoul +506 more,6.8k
4,HSBC Group,4.1,6.7k,"Job Security, Work Life Balance, Company Culture",,Banking | 10k-50k Employees | Forbes Global 2000 | 22 years old | Pune +57 more,6.7k
5,Hinduja Global Solutions,3.9,6.7k,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits",IT Services & Consulting | 10k-50k Employees | Public | 24 years old | Bangalore/Bengaluru +99 more,6.7k
6,Startek,3.2,6.7k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,BPO | 10k-50k Employees | Public | 7 years old | Mumbai +70 more,6.7k
7,Ericsson,4.3,6.5k,"Company Culture, Work Life Balance, Job Security",,Telecom | 10k-50k Employees | Forbes Global 2000 | 148 years old | Stockholm +147 more,6.5k
8,Maruti Suzuki,4.2,6.5k,"Job Security, Salary & Benefits, Skill Development / Learning",,Automobile | 10k-50k Employees | Public | 43 years old | New Delhi +374 more,6.5k
9,Asian Paints,4.0,6.3k,"Salary & Benefits, Skill Development / Learning, Job Security",,Chemicals | 5k-10k Employees | Public | 82 years old | Mumbai +423 more,6.3k
10,Yes Bank,3.9,6.3k,"Salary & Benefits, Work Life Balance",,Banking | 10k-50k Employees | Public | 20 years old | Mumbai +432 more,6.3k
11,Cipla Pharmaceutical,4.1,6.1k,"Skill Development / Learning, Salary & Benefits, Work Life Balance",,Pharma | 10k-50k Employees | Public | 89 years old | Mumbai +228 more,6.1k
12,Dr. Reddy's,4.1,5.9k,"Skill Development / Learning, Company Culture, Work Life Balance",,Pharma | 10k-50k Employees | Public | 40 years old | Hyderabad/Secunderabad +155 more,5.9k
13,Sutherland Global Services,3.7,5.9k,"Promotions / Appraisal, Salary & Benefits",,IT Services & Consulting | 10k-50k Employees | 38 years old | Pittsford +53 more,5.9k
14,UltraTech Cement,4.2,5.8k,"Job Security, Skill Development / Learning, Company Culture",,Building Material | 10k-50k Employees | Public | 41 years old | Mumbai +427 more,5.8k
15,Bandhan Bank,3.8,5.8k,Job Security,"Promotions / Appraisal, Work Satisfaction",Banking | 50k-1 Lakh Employees | Public | 23 years old | Kolkata +739 more,5.8k
16,EXL Service,3.8,5.8k,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits",Analytics & KPO | 10k-50k Employees | 25 years old | New York City +44 more,5.8k
17,Paytm,3.4,5.7k,"Job Security, Promotions / Appraisal, Company Culture",,FinTech | 10k-50k Employees | Public | 14 years old | Noida +306 more,5.7k
18,NTT DATA,4.0,5.7k,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,10k-50k Employees | 36 years old | Chiyoda City +52 more,5.7k
19,ICICI Prudential Life Insurance,4.1,5.6k,"Job Security, Skill Development / Learning, Salary & Benefits",,Insurance | 10k-50k Employees | Public | 24 years old | Mumbai +446 more,5.6k
0,TATA Steel,4.1,5.6k,"Job Security, Skill Development / Learning, Company Culture",,Iron & Steel | 1 Lakh+ Employees | Public | 117 years old | Mumbai +165 more,5.6k
1,Jana Small Finance Bank,3.8,5.5k,,,Banking | 10k-50k Employees | Public | 18 years old | Bangalore/Bengaluru +346 more,5.5k
2,Bajaj Finance,4.0,5.4k,"Salary & Benefits, Skill Development / Learning, Job Security",,NBFC | 10k-50k Employees | 37 years old | Pune +758 more,5.4k
3,Lupin,4.1,5.4k,"Skill Development / Learning, Company Culture, Work Life Balance",,Pharma | 1k-5k Employees | Public | 56 years old | Mumbai +164 more,5.4k
4,Indian Army,4.7,5.3k,"Job Security, Company Culture, Work Satisfaction",,Defence & Aerospace | 1 Lakh+ Employees | Public | 129 years old | New Delhi +320 more,5.3k
5,HCL Group,3.7,5.3k,Job Security,"Promotions / Appraisal, Salary & Benefits",IT Services & Consulting | 1 Lakh+ Employees | 48 years old | Chennai +72 more,5.3k
6,Udaan,4.0,5.2k,"Salary & Benefits, Skill Development / Learning",Job Security,Internet | 1k-5k Employees | Indian Unicorn | 8 years old | Bangalore +343 more,5.2k
7,L&T Infotech,3.8,5.2k,Job Security,"Promotions / Appraisal, Salary & Benefits",IT Services & Consulting | 10k-50k Employees | Public | 28 years old | Mumbai +82 more,5.2k
8,ITC,3.9,5.1k,"Job Security, Skill Development / Learning",Promotions / Appraisal,FMCG | 10k-50k Employees | Public | 49 years old | Kolkata +301 more,5.1k
9,Quess,3.9,5.1k,Work Life Balance,Promotions / Appraisal,BPO | 1k-5k Employees | Public | 17 years old | Bangalore +511 more,5.1k
10,Zydus Lifesciences,4.1,5.1k,"Job Security, Skill Development / Learning, Salary & Benefits",,Pharma | 10k-50k Employees | Public | 72 years old | Ahmedabad +147 more,5.1k
11,Wells Fargo,4.0,5.1k,"Job Security, Work Life Balance, Company Culture",,Banking | 10k-50k Employees | Public | 172 years old | San Francisco +20 more,5.1k
12,Delhivery,4.0,5k,Skill Development / Learning,Promotions / Appraisal,Logistics | 10k-50k Employees | Fortune India 500 | 13 years old | Delhi +611 more,5k
13,JP Morgan Chase,4.2,4.9k,"Job Security, Company Culture, Skill Development / Learning",,Financial Services | 50k-1 Lakh Employees | Forbes Global 2000 | 24 years old | New York +32 more,4.9k
14,Hindustan Unilever,4.2,4.9k,"Skill Development / Learning, Job Security, Company Culture",,FMCG | 10k-50k Employees | Public | 152 years old | London +417 more,4.9k
15,FIS,3.9,4.9k,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal,FinTech | 10k-50k Employees | 56 years old | Jacksonville +46 more,4.9k
16,Amazon Development Centre India,4.2,4.8k,"Company Culture, Work Life Balance, Salary & Benefits",,Internet | 10k-50k Employees | Hyderabad/Secunderabad +71 more,4.8k
17,IIFL Finance,3.9,4.7k,"Skill Development / Learning, Salary & Benefits",,NBFC | 10k-50k Employees | Public | 29 years old | Mumbai +653 more,4.7k
18,JSW Steel,3.9,4.7k,"Job Security, Skill Development / Learning",Promotions / Appraisal,Iron & Steel | 10k-50k Employees | Public | 42 years old | Mumbai +138 more,4.7k
19,Hexaware Technologies,3.7,4.7k,"Promotions / Appraisal, Salary & Benefits",,IT Services & Consulting | 10k-50k Employees | Fortune India 500 | 34 years old | Mumbai +42 more,4.7k
0,Sun Pharmaceutical Industries,4.1,4.6k,"Job Security, Salary & Benefits, Skill Development / Learning",,Pharma | 10k-50k Employees | Public | 41 years old | Mumbai +197 more,4.6k
1,Ujjivan Small Finance Bank,4.1,4.5k,"Company Culture, Job Security, Skill Development / Learning",,Banking | 10k-50k Employees | Public | 7 years old | Bangalore/Bengaluru +436 more,4.5k
2,Muthoot Finance,3.6,4.4k,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",,NBFC | 10k-50k Employees | Public | 85 years old | Kochi/Cochin +621 more,4.4k
3,Max Life Insurance,4.2,4.4k,"Skill Development / Learning, Company Culture, Job Security",,Insurance | 10k-50k Employees | 24 years old | Gurgaon/Gurugram +387 more,4.4k
4,Aurobindo Pharma,4.0,4.4k,"Job Security, Salary & Benefits",,Pharma | 10k-50k Employees | Public | 38 years old | Hyderabad/Secunderabad +89 more,4.4k
5,Home Credit Finance,4.1,4.3k,"Company Culture, Skill Development / Learning, Work Life Balance",,Financial Services | 10k-50k Employees | 12 years old | Gurugram +114 more,4.3k
6,KPMG India,3.6,4.3k,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",Management Consulting | 10k-50k Employees | 37 years old | Bengaluru/Bangalore +76 more,4.3k
7,Shapoorji Pallonji Group,4.2,4.3k,"Job Security, Skill Development / Learning, Company Culture",,Engineering & Construction | 5k-10k Employees | Conglomerate | 159 years old | Mumbai +157 more,4.3k
8,Tata Projects,4.2,4.3k,"Job Security, Company Culture, Skill Development / Learning",,Engineering & Construction | 5k-10k Employees | Public | 45 years old | Mumbai +235 more,4.3k
9,Oracle,3.9,4.3k,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits",Software Product | 50k-1 Lakh Employees | Public | 47 years old | Austin +45 more,4.3k
10,OPPO,3.9,4.3k,Skill Development / Learning,Promotions / Appraisal,Consumer Electronics & Appliances | 10k-50k Employees | Public | 20 years old | Dongguan +368 more,4.3k
11,eClerx,3.4,4.2k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,IT Services & Consulting | 10k-50k Employees | Public | 24 years old | Mumbai +17 more,4.2k
12,L&T Construction,4.0,4.2k,"Job Security, Skill Development / Learning, Salary & Benefits",,Engineering & Construction | 5k-10k Employees | Public | 80 years old | Chennai +337 more,4.2k
13,Capgemini Technology Services India Limited,4.0,4.2k,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",IT Services & Consulting | 1 Lakh+ Employees | Bengaluru/Bangalore +41 more,4.2k
14,Shriram Transport Finance,4.1,4.2k,"Job Security, Skill Development / Learning, Work Life Balance",,NBFC | 10k-50k Employees | Public | 45 years old | Mumbai +771 more,4.2k
15,Ashok Leyland,4.1,4.2k,"Skill Development / Learning, Work Satisfaction, Work Life Balance",,Automobile | 5k-10k Employees | Public | 76 years old | Chennai +206 more,4.2k
16,Apollo Hospitals,4.1,4.2k,"Job Security, Skill Development / Learning, Company Culture",,Healthcare | 10k-50k Employees | Public | 41 years old | Chennai +180 more,4.2k
17,Siemens,4.2,4.1k,"Job Security, Company Culture, Work Life Balance",,Power | 5k-10k Employees | Public | 177 years old | Munich +127 more,4.1k
18,JLL,4.2,4.1k,"Skill Development / Learning, Job Security, Company Culture",,Real Estate | 10k-50k Employees | Forbes Global 2000 | 27 years old | Mumbai +68 more,4.1k
19,Vivo,4.1,4.1k,"Skill Development / Learning, Company Culture, Work Life Balance",Promotions / Appraisal,Consumer Electronics & Appliances | 5k-10k Employees | Conglomerate | 15 years old | Gurgaon/Gurugram +373 more,4.1k
0,Omega Healthcare,3.8,4.1k,"Promotions / Appraisal, Salary & Benefits",,Healthcare | 10k-50k Employees | 21 years old | Florida +43 more,4.1k
1,First Source,3.8,4k,"Promotions / Appraisal, Salary & Benefits",,BPO | 10k-50k Employees | Public | 23 years old | Mumbai +52 more,4k
2,JustDial,3.5,4k,"Promotions / Appraisal, Work Satisfaction, Job Security",,Internet | 10k-50k Employees | Public | 28 years old | Mumbai +175 more,4k
3,Megha Engineering & Infrastructures,4.0,4k,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,Engineering & Construction | 5k-10k Employees | Conglomerate | 35 years old | Hyderabad/Secunderabad +290 more,4k
4,Mahindra & Mahindra Financial Services,4.3,4k,"Job Security, Company Culture, Work Life Balance",,NBFC | 10k-50k Employees | Public | 33 years old | Mumbai +633 more,4k
5,Hero MotoCorp,4.2,3.9k,"Work Life Balance, Job Security, Company Culture",,Automobile | 5k-10k Employees | Public | 40 years old | Gurgaon/Gurugram +310 more,3.9k
6,Bajaj Allianz Life Insurance,4.1,3.9k,"Salary & Benefits, Work Life Balance, Job Security",,Insurance | 10k-50k Employees | 23 years old | Pune +496 more,3.9k
7,Hewlett-Packard Enterprise,4.3,3.9k,"Company Culture, Work Life Balance, Job Security",,Emerging Technologies | 10k-50k Employees | Forbes Global 2000 | 9 years old | Houston +95 more,3.9k
8,D Mart,3.9,3.8k,"Job Security, Company Culture",Promotions / Appraisal,Retail | 10k-50k Employees | Fortune India 500 | 24 years old | Mumbai +208 more,3.8k
9,Cyient,3.8,3.8k,Job Security,"Promotions / Appraisal, Salary & Benefits",IT Services & Consulting | 10k-50k Employees | Public | 33 years old | Hyderabad/Secunderabad +34 more,3.8k
10,ICICI Lombard General Insurance Company,3.8,3.8k,Job Security,Promotions / Appraisal,Insurance | 10k-50k Employees | Public | 23 years old | Mumbai +257 more,3.8k
11,BigBasket,4.0,3.8k,"Job Security, Skill Development / Learning",Promotions / Appraisal,Internet | 10k-50k Employees | Indian Unicorn | 13 years old | Bangalore +113 more,3.8k
12,Coforge,3.5,3.7k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,10k-50k Employees | Public | 20 years old | Noida +85 more,3.7k
13,Indiamart Intermesh,3.6,3.7k,"Promotions / Appraisal, Work Satisfaction, Work Life Balance",,Internet | 5k-10k Employees | 28 years old | Noida +135 more,3.7k
14,Virtusa Consulting Services,3.8,3.7k,Promotions / Appraisal,,IT Services & Consulting | 10k-50k Employees | 28 years old | Southborough +36 more,3.7k
15,Equitas Small Finance Bank,4.4,3.7k,"Job Security, Company Culture, Work Life Balance",,Banking | 10k-50k Employees | Fortune India 500 | 17 years old | Chennai +363 more,3.7k
16,TVS Motor,4.0,3.6k,"Skill Development / Learning, Salary & Benefits, Company Culture",,Automobile | 5k-10k Employees | Public | 45 years old | Chennai +273 more,3.6k
17,GlobalLogic,3.7,3.6k,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",IT Services & Consulting | 10k-50k Employees | 24 years old | San Jose +32 more,3.6k
18,Manappuram Finance,3.9,3.6k,"Skill Development / Learning, Promotions / Appraisal",,NBFC | 10k-50k Employees | Public | 75 years old | Thrissur/Trichur +489 more,3.6k
19,UST,3.8,3.5k,"Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits",IT Services & Consulting | 10k-50k Employees | 23 years old | Aliso Viejo +35 more,3.5k
0,Nagarro,4.2,3.5k,"Company Culture, Work Life Balance, Salary & Benefits",,IT Services & Consulting | 10k-50k Employees | 28 years old | Munich +39 more,3.5k
1,Atos Syntel,3.5,3.5k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,IT Services & Consulting | 5k-10k Employees | 44 years old | Troy +23 more,3.5k
2,SBI Cards & Payment Services,3.7,3.5k,"Promotions / Appraisal, Work Satisfaction, Company Culture",,1k-5k Employees | 26 years old | Gurgaon/Gurugram +330 more,3.5k
3,Cummins,4.3,3.5k,"Company Culture, Work Life Balance, Skill Development / Learning",,Industrial Machinery | 1k-5k Employees | Fortune India 500 | 62 years old | Columbus +103 more,3.5k
4,Reliance Communications,3.9,3.5k,Skill Development / Learning,Promotions / Appraisal,Telecom | 201-500 Employees | Public | 22 years old | Navi Mumbai +422 more,3.5k
5,Bosch Global Software Technologies,4.1,3.5k,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,IT Services & Consulting | 10k-50k Employees | 34 years old | Gerlingen +30 more,3.5k
6,IQVIA,4.0,3.5k,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Clinical Research | 10k-50k Employees | Forbes Global 2000 | 42 years old | Durham +41 more,3.5k
7,Bosch,4.3,3.5k,"Company Culture, Work Life Balance, Skill Development / Learning",,Auto Components | 5k-10k Employees | Public | 138 years old | Gerlingen +97 more,3.5k
8,SMFG India Credit,4.1,3.5k,"Salary & Benefits, Job Security, Skill Development / Learning",,NBFC | 10k-50k Employees | 17 years old | Mumbai +481 more,3.5k
9,Ekart Logistics,4.1,3.4k,"Skill Development / Learning, Salary & Benefits, Company Culture",Promotions / Appraisal,Logistics | 1k-5k Employees | 15 years old | San Francisco +559 more,3.4k
10,Cholamandalam Investment & Finance,4.0,3.4k,"Salary & Benefits, Job Security, Skill Development / Learning",,NBFC | 10k-50k Employees | Fortune India 500 | 46 years old | Chennai +625 more,3.4k
11,BNY Mellon,4.1,3.4k,"Company Culture, Work Life Balance, Job Security",,Investment Banking / Venture Capital / Private Equity | 10k-50k Employees | Forbes Global 2000 | 20 years old | New York City +14 more,3.4k
12,Schneider Electric,4.1,3.4k,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal,Industrial Automation | 10k-50k Employees | Forbes Global 2000 | 25 years old | Paris +110 more,3.4k
13,Oyo Rooms,3.4,3.4k,"Job Security, Promotions / Appraisal, Work Satisfaction",,Hospitality | 1k-5k Employees | Indian Unicorn | 11 years old | Gurgaon +117 more,3.4k
14,Hyundai Motor,4.4,3.4k,"Job Security, Salary & Benefits, Skill Development / Learning",,Automobile | 10k-50k Employees | Fortune India 500 | 57 years old | Seoul +256 more,3.4k
15,Amdocs,4.0,3.4k,"Company Culture, Job Security, Salary & Benefits",,Software Product | 10k-50k Employees | Forbes Global 2000 | 42 years old | Chesterfield +15 more,3.4k
16,L&T Technology Services,3.4,3.3k,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,IT Services & Consulting | 10k-50k Employees | Public | 12 years old | Vadodara/Baroda +46 more,3.3k
17,BT Group,4.1,3.3k,"Job Security, Work Life Balance, Company Culture",,Telecom | 10k-50k Employees | Forbes Global 2000 | 178 years old | London +18 more,3.3k
18,CBRE,4.2,3.3k,"Skill Development / Learning, Company Culture, Job Security",,Real Estate | 10k-50k Employees | Forbes Global 2000 | 118 years old | Los Angeles +71 more,3.3k
19,State Bank of India,3.7,3.3k,Job Security,"Work Life Balance, Company Culture, Work Satisfaction",Banking | 1 Lakh+ Employees | Fortune India 500 | 218 years old | Mumbai +477 more,3.3k
0,JBM Group,4.0,3.3k,"Job Security, Skill Development / Learning",,Auto Components | 1k-5k Employees | Public | 41 years old | Gurgaon/Gurugram +87 more,3.3k
1,Swiggy,3.9,3.3k,Salary & Benefits,"Job Security, Promotions / Appraisal",Internet | 5k-10k Employees | Indian Unicorn | 10 years old | Bangalore +177 more,3.3k
2,Ecom Express,4.1,3.2k,"Skill Development / Learning, Work Life Balance, Company Culture",,Logistics | 10k-50k Employees | 12 years old | Gurgaon +612 more,3.2k
3,Dell,4.2,3.2k,"Company Culture, Work Life Balance, Job Security",,Consumer Electronics & Appliances | 10k-50k Employees | Forbes Global 2000 | 40 years old | Round Rock +99 more,3.2k
4,SBI Life Insurance Company,3.8,3.2k,Job Security,Promotions / Appraisal,Insurance | 10k-50k Employees | 23 years old | Mumbai +518 more,3.2k
5,Future Group,4.3,3.2k,"Skill Development / Learning, Company Culture, Work Satisfaction",,Retail | 10k-50k Employees | Conglomerate | 11 years old | Mumbai +201 more,3.2k
6,Bajaj Auto,3.8,3.2k,Promotions / Appraisal,,Automobile | 5k-10k Employees | Public | 79 years old | Pune +245 more,3.2k
7,Optum,4.0,3.2k,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal,Healthcare | 10k-50k Employees | 47 years old | Prairie +28 more,3.2k
8,Nagarjuna Construction Company,4.1,3.1k,"Job Security, Skill Development / Learning, Company Culture",,Engineering & Construction | 5k-10k Employees | Public | 26 years old | Hyderabad/Secunderabad +221 more,3.1k
9,KEC International,4.1,3.1k,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal,Engineering & Construction | 5k-10k Employees | Public | 79 years old | Mumbai +265 more,3.1k
10,Piramal Capital Housing Finance,4.2,3.1k,"Company Culture, Skill Development / Learning, Salary & Benefits",,NBFC | 1k-5k Employees | 4 years old | Mumbai +323 more,3.1k
11,Muthoot Fincorp,4.0,3.1k,"Job Security, Skill Development / Learning, Work Life Balance","Promotions / Appraisal, Salary & Benefits",NBFC | 10k-50k Employees | Conglomerate | 137 years old | Trivandrum/Thiruvananthapuram +531 more,3.1k
12,Aditya Birla Fashion and Retail,4.2,3.1k,"Job Security, Skill Development / Learning, Company Culture",,Fashion & Textile | 10k-50k Employees | Fortune India 500 | 9 years old | Mumbai +223 more,3.1k
13,Royal Enfield,4.2,3k,"Skill Development / Learning, Company Culture, Work Satisfaction",,Automobile | 5k-10k Employees | 123 years old | Gurgaon/Gurugram +302 more,3k
14,Viatris,4.2,3k,"Salary & Benefits, Job Security, Work Life Balance",,Pharma | 10k-50k Employees | Forbes Global 2000 | 63 years old | Canonsburg +70 more,3k
15,L&T Finance,4.0,3k,"Salary & Benefits, Skill Development / Learning",,NBFC | 10k-50k Employees | Public | 30 years old | Mumbai +469 more,3k
16,Samvardhana Motherson Group,3.8,3k,Job Security,,Auto Components | 1k-5k Employees | Public | 38 years old | Noida +75 more,3k
17,Kogta Financial India Limited,4.8,3k,"Company Culture, Work Life Balance, Work Satisfaction",,NBFC | 1k-5k Employees | Public | 28 years old | Jaipur +206 more,3k
18,Tata Communications,4.1,3k,"Job Security, Company Culture, Skill Development / Learning",,Telecom | 5k-10k Employees | Public | 38 years old | Mumbai +89 more,3k
