,name,rating,reviews,highly rated for,critically rated for,details,jobs
9,FiveS Digital,3.2,304,"Promotions / Appraisal, Salary & Benefits, Job Security",,BPO | 501-1k Employees | 15 years old | Udaipur +16 more,304
10,Buzzworks Business Services,3.9,303,Work Life Balance,Promotions / Appraisal,Recruitment | 501-1k Employees | 25 years old | Chennai +47 more,303
11,Brigade Group,4.2,303,"Skill Development / Learning, Job Security, Company Culture",,Real Estate | 501-1k Employees | Public | 38 years old | Bangalore/Bengaluru +8 more,303
12,Polestar Solutions & Services India,4.4,303,"Promotions / Appraisal, Skill Development / Learning, Work Life Balance",,IT Services & Consulting | 201-500 Employees | Startup | 12 years old | Noida +7 more,303
13,Mas Callnet,3.9,303,"Company Culture, Work Life Balance, Work Satisfaction",,BPO | 51-200 Employees | 34 years old | Noida +12 more,303
14,Nissan,4.1,303,"Work Life Balance, Skill Development / Learning, Company Culture",,Automobile | 10k-50k Employees | Forbes Global 2000 | 91 years old | Yokohama-shi +65 more,303
15,Signutra,4.6,303,"Company Culture, Skill Development / Learning, Work Life Balance",,Pharma | 201-500 Employees | 14 years old | Wilmington +59 more,303
16,Leverage Edu,4.0,303,"Salary & Benefits, Skill Development / Learning, Company Culture",,EdTech | 51-200 Employees | Startup | 7 years old | Delhi +11 more,303
17,Deluxe Entertainment,3.3,302,"Job Security, Promotions / Appraisal, Skill Development / Learning",,Media & Entertainment | 1k-5k Employees | 109 years old | Hollywood +11 more,302
18,V-Xpress,4.1,302,"Work Life Balance, Job Security, Work Satisfaction",,Logistics | 1k-5k Employees | 22 years old | Chembur +55 more,302
19,Methodex,3.8,302,Promotions / Appraisal,,Law Enforcement & Security | 1k-5k Employees | 64 years old | Delhi/NCR +44 more,302
0,R.V.R. PROJECTS,3.9,302,Salary & Benefits,,Engineering & Construction | 51-200 Employees | 48 years old | Visakhapatnam/Vizag +36 more,302
1,KnowledgeHut,4.5,302,"Skill Development / Learning, Work Life Balance, Company Culture",,EdTech | 501-1k Employees | 13 years old | Wilmington +19 more,302
2,V-Xpress,4.1,302,"Work Life Balance, Job Security, Work Satisfaction",,Logistics | 1k-5k Employees | 22 years old | Chembur +55 more,302
3,IMS People,3.6,301,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",,Recruitment | 1k-5k Employees | 18 years old | Ahmedabad +21 more,301
4,Henkel Adhesives Technologies,4.2,301,"Salary & Benefits, Work Life Balance, Company Culture",,Chemicals | 501-1k Employees | 34 years old | Düsseldorf +23 more,301
5,Jawahar Navodaya Vidyalaya,4.4,301,"Skill Development / Learning, Salary & Benefits, Company Culture",,Education & Training | 10k-50k Employees | Central | 39 years old | Noida +117 more,301
6,Star Bazaar,4.2,301,"Company Culture, Job Security, Work Life Balance",,Retail | 5k-10k Employees | 26 years old | Mumbai +30 more,301
7,Johnson Controls Hitachi Air Conditioning,3.6,301,"Promotions / Appraisal, Job Security, Work Satisfaction",,Consumer Electronics & Appliances | Kadi +34 more,301
8,Datamatics Business Solutions,3.4,301,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Management Consulting | 1k-5k Employees | Public | 42 years old | Mumbai +8 more,301
9,Johnson Matthey,4.0,301,"Company Culture, Work Life Balance",Promotions / Appraisal,501-1k Employees | Forbes Global 2000 | 207 years old | London +16 more,301
10,VDA Infosolutions,3.5,301,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,IT Services & Consulting | 201-500 Employees | 14 years old | Mumbai +25 more,301
11,Kutchina,3.7,301,"Promotions / Appraisal, Salary & Benefits",,Consumer Electronics & Appliances | 201-500 Employees | 21 years old | Kolkata +56 more,301
12,Hilex,3.8,301,Promotions / Appraisal,,Automobile | 201-500 Employees | 78 years old | Gurgaon/Gurugram +12 more,301
13,Kcc Buildcon,4.1,301,"Work Life Balance, Work Satisfaction, Company Culture",,Engineering & Construction | 1k-5k Employees | 15 years old | Gurgaon/Gurugram +47 more,301
14,Eugia Pharma Specialities,4.1,301,"Job Security, Work Life Balance, Salary & Benefits",,Pharma | 1k-5k Employees | Hyderabad/Secunderabad +12 more,301
15,National Collateral Management Services,3.9,301,Company Culture,"Promotions / Appraisal, Salary & Benefits",Government | 501-1k Employees | 20 years old | Mumbai +69 more,301
16,Jumbotail Technologies,3.7,301,"Promotions / Appraisal, Job Security, Work Life Balance",,Retail | 201-500 Employees | Startup | 9 years old | Bangalore/Bengaluru +28 more,301
17,Mothers Recipe,4.2,301,"Company Culture, Job Security, Work Life Balance",,FMCG | 501-1k Employees | 123 years old | Pune +57 more,301
18,PGP Glass,4.1,301,"Job Security, Skill Development / Learning, Work Life Balance",,Packaging | 1k-5k Employees | 40 years old | Surat +13 more,301
19,Indian Immunologicals,4.1,300,"Work Life Balance, Job Security, Work Satisfaction",Promotions / Appraisal,Biotechnology | 1k-5k Employees | Public | 42 years old | Hyderabad/Secunderabad +24 more,300
0,Ryan International School,3.8,300,"Promotions / Appraisal, Salary & Benefits",,Education & Training | 10k-50k Employees | Public | 32 years old | Mumbai +38 more,300
1,INDIABULLS PHARMACEUTICALS,2.6,300,"Job Security, Work Satisfaction, Promotions / Appraisal",,Pharma | 1k-5k Employees | 8 years old | Mumbai +54 more,300
2,Aurangabad Electricals,3.8,300,Skill Development / Learning,"Salary & Benefits, Promotions / Appraisal",Auto Components | 501-1k Employees | 39 years old | Aurangabad +8 more,300
3,SMEC,4.0,300,"Work Life Balance, Company Culture, Work Satisfaction",,Real Estate | 501-1k Employees | 54 years old | North Sydney +58 more,300
4,Kuehne + Nagel,4.0,300,"Skill Development / Learning, Company Culture, Job Security",,Logistics | 501-1k Employees | 134 years old | Schindellegi +30 more,300
5,Amrit Cement,4.1,300,"Skill Development / Learning, Work Life Balance, Job Security",,Building Material | 501-1k Employees | 16 years old | Kolkata +19 more,300
6,Hajee A P Bava Construction,3.9,300,Skill Development / Learning,Salary & Benefits,Engineering & Construction | 10k-50k Employees | 74 years old | Bangalore/Bengaluru +44 more,300
7,Jupiter Hospital,4.0,300,"Job Security, Skill Development / Learning",Promotions / Appraisal,Healthcare | 1k-5k Employees | 17 years old | Thane +9 more,300
8,Suzuki,4.1,300,"Job Security, Company Culture, Skill Development / Learning",,Automobile | 10k-50k Employees | Forbes Global 2000 | 10 years old | Vadodara/Baroda +50 more,300
9,Harjai Computers,4.0,299,"Work Life Balance, Work Satisfaction, Company Culture",,Recruitment | 201-500 Employees | 29 years old | Mumbai +11 more,299
10,Jockey,4.4,299,"Skill Development / Learning, Work Life Balance, Company Culture",,Fashion & Textile | 10k-50k Employees | 148 years old | Kenosha +98 more,299
11,Kerala State Electricity Board,4.2,299,"Work Life Balance, Work Satisfaction, Skill Development / Learning","Promotions / Appraisal, Job Security, Salary & Benefits",Power | 10k-50k Employees | State | 67 years old | Trivandrum/Thiruvananthapuram +27 more,299
12,Symbiotec Pharmalab,3.7,299,"Promotions / Appraisal, Company Culture, Work Satisfaction",,Pharma | 51-200 Employees | 30 years old | Indore +7 more,299
13,Tagros Chemicals,3.6,299,"Promotions / Appraisal, Job Security, Company Culture",,Agro Chemicals | 51-200 Employees | 20 years old | Chennai +6 more,299
14,Jamna Auto Industries,3.7,299,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",,Auto Components | 1k-5k Employees | Public | 70 years old | Yamunanagar +31 more,299
15,S2 Infotech,3.2,299,"Job Security, Promotions / Appraisal, Salary & Benefits",,Recruitment | 201-500 Employees | Public | 19 years old | Mumbai +53 more,299
16,NKG Infrastructure,3.6,299,"Promotions / Appraisal, Salary & Benefits, Job Security",,Engineering & Construction | 1k-5k Employees | 35 years old | Delhi/NCR +37 more,299
17,Jeeves Consumer Services,3.8,299,"Job Security, Promotions / Appraisal, Salary & Benefits",,Consumer Electronics & Appliances | 5k-10k Employees | 17 years old | Bangalore +50 more,299
18,RSWM,3.9,299,Company Culture,Promotions / Appraisal,Fashion & Textile | 10k-50k Employees | Public | 63 years old | Noida +26 more,299
19,RentoMojo,4.4,298,"Work Life Balance, Skill Development / Learning, Salary & Benefits",,Internet | 501-1k Employees | Startup | 10 years old | Bangalore +14 more,298
0,RentoMojo,4.4,298,"Work Life Balance, Skill Development / Learning, Salary & Benefits",,Internet | 501-1k Employees | Startup | 10 years old | Bangalore +14 more,298
1,Infosys Consulting,3.6,298,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",IT Services & Consulting | 1k-5k Employees | 20 years old | Zurich +25 more,298
2,Chaitanya India Fin Credit,4.0,298,"Company Culture, Skill Development / Learning, Work Life Balance",,NBFC | 5k-10k Employees | 15 years old | Bangalore +111 more,298
3,Wipro Infotech Limited,4.1,298,"Work Life Balance, Job Security, Work Satisfaction","Promotions / Appraisal, Salary & Benefits",Gurgaon/Gurugram +38 more,298
4,Bajaj Consumer Care,3.9,298,Salary & Benefits,Promotions / Appraisal,FMCG | 201-500 Employees | Public | 94 years old | Mumbai +73 more,298
5,Tata Steel Utilities and Infrastructure Services,3.6,298,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits, Work Satisfaction",Engineering & Construction | Jamshedpur +13 more,298
6,Eversendai,3.8,297,Job Security,"Promotions / Appraisal, Company Culture",Engineering & Construction | 201-500 Employees | 40 years old | Selangor Darul Ehsan +16 more,297
7,SkillRecruit,4.5,297,"Company Culture, Work Life Balance, Work Satisfaction",,Recruitment | 201-500 Employees | MNC | 19 years old | London +14 more,297
8,Micromatic Machine Tools,4.5,297,"Company Culture, Skill Development / Learning, Job Security",,Industrial Machinery | 501-1k Employees | Public | 51 years old | Bengaluru +33 more,297
9,World Network Services,3.4,297,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",,Pune +14 more,297
10,Sahyadri Hospital,4.2,297,"Job Security, Skill Development / Learning, Company Culture",,Healthcare | 1k-5k Employees | 20 years old | Pune +6 more,297
11,PC Solutions,4.0,297,"Skill Development / Learning, Work Life Balance, Job Security",,IT Services & Consulting | 201-500 Employees | 36 years old | New Delhi +17 more,297
12,Tribhovandas Bhimji Zaveri,4.1,296,"Skill Development / Learning, Work Life Balance, Job Security",,Metals & Mining | 1k-5k Employees | Public | 160 years old | Mumbai +34 more,296
13,Vatika Group,4.0,296,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal,Hospitality | 1k-5k Employees (Global) | 38 years old | Gurgaon +13 more,296
14,Grey Orange,3.2,296,"Job Security, Work Satisfaction, Promotions / Appraisal",,Software Product | 501-1k Employees | 13 years old | Gurgaon +9 more,296
15,National Fertilizers,4.2,296,"Job Security, Work Life Balance, Company Culture",,Agro Chemicals | 1k-5k Employees | Public | 50 years old | Noida +26 more,296
16,Wabtec,4.1,296,"Job Security, Work Life Balance, Company Culture",,Auto Components | 1k-5k Employees | 152 years old | Wilmerding +20 more,296
17,Chambal Fertilisers And Chemicals,4.0,296,"Job Security, Salary & Benefits, Skill Development / Learning",Promotions / Appraisal,Agro Chemicals | 1k-5k Employees | Public | 39 years old | Kota +45 more,296
18,Elecon Engineering,4.1,296,"Work Life Balance, Skill Development / Learning, Company Culture",Job Security,Electrical Equipment | 501-1k Employees | Public | 73 years old | Gujrat +20 more,296
19,Katerra,3.3,296,"Job Security, Promotions / Appraisal, Company Culture",,Engineering & Construction | 501-1k Employees | Startup | 9 years old | Menlo Park +14 more,296
0,MITS GLOBAL CONSULTING,4.6,296,"Work Life Balance, Work Satisfaction, Company Culture",,Recruitment | 201-500 Employees | Mumbai +9 more,296
1,Wipro GE Health Care,4.2,296,"Company Culture, Skill Development / Learning, Work Satisfaction",,IT Services & Consulting | 1k-5k Employees | 132 years old | Chicago +31 more,296
2,Bombardier Transportation,4.1,295,"Work Life Balance, Company Culture, Work Satisfaction",,Urban Transport | 201-500 Employees | 29 years old | Montreal +13 more,295
3,Yusen Logistics,4.2,295,"Company Culture, Job Security, Skill Development / Learning",,Logistics | 501-1k Employees | 69 years old | Tokyo +29 more,295
4,IFFCO Kisan Sanchar,3.4,295,"Job Security, Promotions / Appraisal, Salary & Benefits",,Agro Chemicals | 501-1k Employees | 17 years old | Delhi/NCR +63 more,295
5,Sri Krishna Pharmaceuticals,4.1,295,"Job Security, Work Life Balance",Promotions / Appraisal,Pharma | 501-1k Employees | 50 years old | Hyderabad/Secunderabad +8 more,295
6,Bhagwati Products,3.7,295,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",,Consumer Electronics & Appliances | 11-50 Employees | Public | 22 years old | Delhi/NCR +15 more,295
7,Roca Bathroom Products,3.9,295,Promotions / Appraisal,,Building Material | 1k-5k Employees | 18 years old | Municipality of GavÃ +49 more,295
